difftime;s_2;s_3;s_6;s_1;s_8;s_4;s_262;s_263;s_259;s_260;s_261;s_257;s_15;s_5;s_21_1;s_21_2;s_21_3;s_21_4;s_21_5;s_21_6;s_21_7;s_21_8;s_21_9;s_21_10;s_21_11;s_21_12;s_21_13;s_21_14;s_21_15;s_7;s_256;s_235;s_236;s_237;s_227;s_228;s_229;s_230;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_24_17;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173;s_180;s_181;s_182;s_183;s_184;s_185;s_186;s_187;s_188;s_189;s_190;s_191;s_192;s_193;s_194;s_195;s_196;s_197;s_198;s_199;s_200;s_201;s_202;s_203;s_204;s_205;s_206;s_207;s_175;s_135;s_178;s_136;s_71;s_137;s_177;s_240;s_85;s_86;s_97;s_70;s_72;s_73;stato_1;stato_2;stato_3;stato_4;stato_5
838,53;2;2;6;"";10;"Manufacturing";1;5;4;4;4;1;3;"";0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;"";4;4;4;5;;;;;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;2;1;1;1;1;1;5;3;5;1;5;1;1;2;4;2;3;2;4;2;4;2;2;3;4;3;3;2;5;1;5;1;5;1;5;1;5;1;5;2;5;3;"<p><span style=""font-size:12px"">I really like the colors that are used for the different moods on the graphs, it really gives the recommendation explanation some personality, since a lot of people use colors to express moods.&nbsp; I also like the bar graphs for the different moods as, at a glance, it is easy to see which moods represent the song and playlist easily.&nbsp; this also makes it easier to compare the different moods which to me is what I am doing when I look at the recommendations.</span></p>";1;"<p>It really is bland and uninformative, it doesnt tell me that the system understands the current playlist I created nor the song that it is recommending me.&nbsp; There really is a lack of information here, and the recommendation is based off of trust for the system.</p>";"<p>I like the bar graphs for easy comparision between moods, and I dislike the percentages because It is difficult to read at a glance.</p>";"<p>I would group the colors of the different moods into similar catagories and give those similar colors to paint more of a picture, like all the slow moods should be shades of blue and all the happy moods should be shades of red.</p>";"<p>Yes they were very helpful! I love it!</p>";"<p>I think I now am wanting that system on my phone right now :)&nbsp; I would be going over all of my playlists and pruning them of music that doesnt fit cause ive come across songs that ive just skipped before and now I have some data to tell me why I might have done that.</p>";5;5;5;"<p>I think my opinion has gotten stronger in favor of music recommendation explinations.</p>";"<p>a customization section that allows you to set the list of moods that are used to determine the playlists would be useful, maybe I dont care how depressing a song is no matter what and I dont want recommendations based off that mood ever.</p>";"<p>This is a really good idea, I am happy that I could be a part of its creation.</p>";0;0;0;1;0
566,66;1;3;6;"";4;"";1;5;5;5;5;1;1;"";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;"";5;4;5;4;;;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;5;1;5;1;5;1;5;1;5;5;1;5;5;5;1;5;1;5;1;5;1;5;3;5;1;5;1;5;1;5;1;5;1;5;1;5;2;5;3;"<p>I like that it uses color and the use of meaningful feelings/words to show the connections between songs.</p>";1;"<p>I feel like number one doesn&#39;t give enough information</p>";"<p>I like the use of color in number 3 and I dislike that number one has an uninteresting interface compared to number 3</p>";"";"<p>Yes, I like the mood based recommendations a lot!</p>";"<p>I think this is a great idea and it would help me find songs that I am not already familiar with.</p>";5;5;5;"<p>No, my opinion remains the same.</p>";"";"";0;0;0;1;0
996,81;1;5;4;"";13;"";2;4;4;4;4;2;4;"";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"Christian";;;;;2;4;4;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;4;3;4;2;4;2;3;2;4;2;4;4;2;5;1;5;1;5;2;5;1;5;1;5;3;5;2;4;2;3;2;4;4;2;2;3;2;2;2;3;2;"<p>It shows up better against a black screen.</p>";3;"<p>Too much black against black does not show up well.</p>";"<p>I like how it shows why it recommended a song and shows how much it matches your preferences. The one I do not like is the one that has a limited explanation as to why it recommend that song.</p>";"<p>None, you should go with Interface #2 its the best.</p>";"<p>Not really, but I would use it if I was in a bad mood and needed a song to put me in a better mood, only then I would use i t.</p>";"<p>May or not be useful depending on the user of the device.</p>";5;5;4;"<p>It has not changed at all.</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
;2;2;6;"";1;"";5;2;3;4;2;1;1;"";0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;"";3;3;4;4;;;;;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;4;2;5;2;2;1;4;2;4;3;2;2;1;2;1;5;1;4;5;4;3;3;4;4;2;3;3;4;3;4;4;1;1;3;3;5;1;2;3;3;5;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
1167,437;2;1;2;"";6;"";2;4;4;5;4;1;1;"";0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;"";4;4;4;2;;;;;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;4;3;2;2;1;2;5;1;1;2;3;1;3;4;3;5;3;5;4;4;4;2;2;4;2;3;4;4;5;1;5;3;5;1;5;2;5;1;4;2;4;3;"<p>It is simple, it provides the information in an appealing design.</p>";2;"<p>It is too complex and visually is not appealing.</p>";"<p>It is a nice way to understand certain things, like what kind of words and emotions are taking into consideration to suggest a playlist</p>";"";"<p>Yes, it is a nice way to understand why play certain kind of songs with more frequency than others</p>";"<p>I like it, I have seen this kind of recommendations in the past.</p>";4;5;4;"<p>Yes, provide that the design is good and simple is a nice way to provide information</p>";"";"";0;0;0;1;0
708,397;2;2;7;"";8;"";1;5;5;5;5;1;7;"";0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;"";4;4;5;5;;;;;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;3;1;2;1;3;5;3;1;3;2;3;3;1;2;3;3;3;3;4;2;3;2;4;2;3;3;1;3;3;3;3;3;3;3;3;3;4;2;2;3;2;"<p>It provides detailed information about why the song was recommended.</p>";1;"<p>There is not enough information about the recommended songs.</p>";"<p>I like that the values of the recommended songs are available to view, but there should be a way to view that on the playlist without the extra tap.</p>";"";"<p>Helpful and unhelpful, I wouldn&#39;t know what the exact meanings of the values are.</p>";"<p>It&#39;s a terrible way to describe the recommendations, the words are open to interpretation, as is the music and song.</p>";5;5;3;"<p>No.</p>";"";"";0;0;0;1;0
681,3;2;3;6;"";4;"";3;4;4;4;4;1;2;"";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"";4;4;4;4;;;;;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;4;5;3;4;3;4;2;4;4;4;3;4;4;4;4;4;3;3;4;4;4;4;3;4;3;3;4;4;3;3;4;4;3;2;4;4;3;4;3;4;3;1;"<p>because it is easy to use.</p>";3;"<p>because there are lots of contents there&nbsp;</p>";"<p>i love the arrangement and the simplicity. what i love least is the content of explanation</p>";"";"<p>yes they are really help full</p>";"<p>i will say it is a positive and i will start using it</p>";5;5;5;"<p>no my option did not change</p>";"";"";0;0;0;1;0
745,757;1;4;6;"";4;"";4;3;4;4;3;3;1;"";0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;1;3;4;4;3;4;1;3;4;4;4;3;4;3;3;3;3;4;3;3;4;3;3;3;3;3;3;4;3;3;4;3;3;4;3;2;4;1;"<p><strong>like this recommendation explanation design the most</strong></p>";2;"<p>cant understanr</p>";"<p>nthg</p>";"<p>nothing</p>";"<p>no</p>";"<p>good</p>";4;5;4;"<p>nothing</p>";"<p>no</p>";"<p>no</p>";0;0;0;1;0
;2;2;7;"";8;"";3;2;4;2;4;1;3;"";1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;"";3;5;5;4;;;;;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;5;5;5;4;3;2;3;2;4;3;4;5;4;3;5;3;5;5;3;3;5;4;3;3;5;5;5;4;5;5;3;4;3;5;4;4;5;3;4;3;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
556,317;2;4;7;"";8;"";4;4;4;4;5;1;2;"";0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;"";4;4;4;5;;;;;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4;1;2;3;2;2;4;1;1;2;5;5;1;5;1;5;2;2;3;5;2;4;1;2;3;3;1;2;3;1;3;2;5;2;3;2;2;4;4;2;1;1;"<p>It&#39;s enticing</p>";2;"<p>The interface</p>";"<p>Genre of the music</p>";"";"<p>Yes</p>";"<p>It is nice and interesting</p>";5;4;5;"<p>No</p>";"<p>None</p>";"";0;0;0;1;0
360,756;1;3;7;"";9;"";4;5;4;4;3;1;2;"";0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;"";4;4;5;4;;;;;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;3;4;4;3;5;5;4;3;5;3;3;3;4;4;3;4;2;3;3;3;4;2;2;5;3;2;3;3;3;3;4;2;5;4;3;3;4;5;2;2;1;"<p>because its seems like the user free interface</p>";3;"<p>this interface looks like non userfree interface</p>";"<p>for easiest accessing</p>";"<p>nothing</p>";"<p>yes its so helpful</p>";"<p>nothing to recommend</p>";4;5;4;"<p>yes its more importance to me&nbsp;</p>";"<p>no</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
893,193;2;2;6;"";1;"";5;4;5;4;4;1;6;"";0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;"";5;4;4;5;;;;;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;4;4;1;4;5;3;5;5;3;4;4;4;5;4;3;2;3;4;4;3;2;4;5;4;1;3;4;5;3;1;3;4;3;3;4;3;5;4;4;2;3;3;"<p>it is the way it was design it aesthetics quality&nbsp;</p>";1;"<p>it creates certain feeling in me&nbsp;</p>";"<p>it expresses the beauty of the art in musical world&nbsp;</p>";"<p>the lyric is very good and creates atmosphere for the listener&nbsp;</p>";"<p>it is very helpful for the auditory organs</p>";"<p>it is an interesting survey they should&nbsp;plan to cultivate some&nbsp;of&nbsp; the ideas in it.</p>";4;5;4;"<p>the opinion is still very vibrant&nbsp;</p>";"<p>cultivate the ideas an learn more on the genre of music&nbsp;</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
874,627;2;2;6;"";13;"";5;5;4;4;4;1;6;"";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;"";4;4;5;5;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;5;5;3;4;4;4;4;5;5;5;4;5;5;4;5;4;4;5;5;4;4;5;5;4;3;4;5;5;5;5;5;4;4;4;4;4;4;5;2;4;3;"<p>it is good many it is good&nbsp;</p>";2;"<p>it is good&nbsp;it is good&nbsp;</p>";"<p>it is good nit is good&nbsp;</p>";"<p>it is good&nbsp;</p>";"<p>it is good&nbsp;</p>";"<p>it is good&nbsp;</p>";4;5;4;"<p>it is good&nbsp;</p>";"<p>it is good&nbsp;</p>";"<p>it is good&nbsp;</p>";0;0;0;1;0
1131,85;1;4;4;"";6;"";2;4;5;4;4;2;3;"";0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;"";;;;;4;4;4;5;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;2;2;1;1;5;2;3;2;4;1;2;1;4;2;4;2;5;2;4;1;3;2;4;3;4;1;4;2;4;2;5;1;4;2;5;1;5;2;4;3;"<p>I like how colorful it is, and I like that I can easily compare the two sides without looking at numbers and having to concentrate on them. This is super easy. While I found it a little difficult to interpret at first (something about the bars both signaling an increase even though they&#39;re pointed in the opposite direction), it&#39;s such an attractive visual. It doesn&#39;t feel overwhelming to look at these soft colors on a black/grey background.&nbsp;</p>";1;"<p>I don&#39;t feel this gives me any information to make an informed decision about the song. I don&#39;t want to waste my time listening to a song that&#39;s not what I want because it&#39;s a partial match to my playlist. I want to know what my tastes are so I can identify them visually.&nbsp;</p>";"<p>I love that you can shuffle! That&#39;s so helpful! It keeps things new and interesting. I do with the measurement were compared closer together so I could see how they differ side by side. But, that&#39;s a bit minor. I like how the text is clean and minimal. It&#39;s not overwhelming at all.</p>";"<p>I&#39;d like a lighter mode, and perhaps an option to display an overall fit for the playlist without clicking on the song at all.&nbsp;</p>";"<p>I found them very helpful, and I think it&#39;s a great way to help people choose songs. It seems that it&#39;s so hit and miss to find a song you want for a certain mood by searching for subjects or artists. I want variety, but sometimes I want a certain mood within that variety.&nbsp;</p>";"<p>I think it&#39;s a great idea! I wish places like YouTube had this. I think this captures what people often look for in songs. Maybe they want sad songs...but not too sad. Well, it&#39;s not very easy to Google that, so this is helpful.</p>";5;5;4;"<p>No, I still&nbsp;think they&#39;re important. Actually, I now think that recommendation explanations are even more important. I see how an insight into the algorithms can help you identify your preferences in a more consistent manner, too.</p>";"<p>No, I do not.</p>";"<p>Thank you! This was very interesting!</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
141,687;2;3;7;"";8;"";3;4;3;1;4;2;1;"";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;"";;;;;1;5;1;5;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;5;5;4;2;1;3;4;2;3;3;1;2;2;5;4;4;3;1;4;2;5;1;2;3;1;3;3;4;2;5;2;1;3;4;3;4;1;1;1;3;1;2;"<p>i like the design</p>";3;"<p>i like the design</p>";"<p>i like the design</p>";"<p>i like the design</p>";"<p>i like the design</p>";"<p>i like the design</p>";2;4;3;"<p>i like the design</p>";"<p>i like the design</p>";"<p>i like the design</p>";0;0;0;1;0
424,07;2;2;6;"";11;"";1;4;4;5;4;1;6;"";0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;"";4;3;2;3;;;;;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;2;5;2;2;2;3;2;3;2;2;2;4;3;2;4;2;4;2;4;2;2;2;3;3;3;3;4;2;5;2;4;2;4;2;4;2;4;2;4;2;4;3;"<p>I think it looks the most attractice, sticking with the darker theme, and is more visual and easier to understand.</p>";2;"<p>I would be more okay without any explanation to e honest, so the second one was a no from me just from the way it looked.</p>";"<p>I like that it explains the parts of why it was chosen, I think there are too many options perhaps to show</p>";"";"<p>they were helpful I guess, it would incline me to listen to the song faster.</p>";"<p>I think they&#39;re okay, it seems to work with the playlists in general, but I think I would also like an option, if I even super cared about why songs are recommended, that showed musicality options besides just moods.</p>";5;4;2;"<p>It kind of has, I mean i realize, I don&#39;t really need any explanation at all.</p>";"<p>No other suggestions, I think that s a good place to start</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
1959,877;1;2;6;"";4;"";3;4;3;4;3;1;1;"";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;"";3;3;4;4;;;;;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;4;4;3;3;3;4;4;3;3;4;3;4;3;3;3;4;4;4;4;3;4;3;3;4;3;3;3;4;3;4;4;3;4;3;3;3;3;4;3;4;4;3;"<p>MOST WORK&nbsp;</p>";2;"<p>PROBLEMS&nbsp;</p>";"<p>NO</p>";"<p>NONE</p>";"<p>YES</p>";"<p>GOOD</p>";3;4;3;"<p>NOT BAD</p>";"<p>GOOD</p>";"<p>NO</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
1196,013;1;2;6;"";6;"";2;4;4;5;4;1;6;"";0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;"kpop";4;5;4;3;;;;;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;4;5;1;4;1;3;1;4;1;4;1;4;4;4;4;2;3;2;4;2;5;4;4;1;4;3;5;4;4;2;4;2;3;1;4;2;4;1;4;2;4;2;"<p>I like the amount of infromation it is giving you with data and facts but making it very clear of what it means but the design is friendly and welcoming&nbsp;</p>";3;"<p>I dont like the grahic design it looks to industry type and not relatable for people to want to learn and understand of trust in whats being said.</p>";"<p>I like how it seems to connect to your music taste and gives you the right recommendations.</p>";"<p>I want it to look for 2020 with bolding appeal, currenly looks a few years out dated</p>";"<p>Gives you the details with works tht mean how you are feeling which connect to different music taste in the moment.</p>";"<p>I like it espcially now because I have many different moods and want the right music to listen to</p>";4;4;4;"<p>It has made me even more aware and knowing I need those recommendation for good music to help me out in that way</p>";"<p>no</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
1381,92;1;2;4;"";13;"";2;4;4;4;4;1;6;"";0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;"";4;2;4;4;;;;;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;2;2;4;4;4;4;2;2;4;2;4;4;4;2;4;4;2;4;2;4;2;4;2;4;2;3;4;2;4;4;4;3;4;2;2;2;4;2;2;2;4;3;"<p>It&#39;s easy to see the difference between the song and the playlist without a ton of numbers. THe bars are easy to see. It only matches a few so it still might not be the right for playlist but a good jumping off place.&nbsp;</p>";1;"<p>It doesn&#39;t tell you it recommends the song it shows the songs. I think that is ok but you won&#39;t understand why you like the music you like&nbsp;</p>";"<p>I like the color bars it&#39;s easy to see and compare&nbsp; the same on either side but I don&#39;t like how many categories&nbsp; that there, it&#39;s too much info. Also where do they get this info? WHo&#39;s rating these? Also some of those categories I would never compare or even know how to rate that</p>";"<p>You should be able to slide through the table for different songs, instead of having go back to the list and select &quot;why?&quot;&nbsp;</p>";"<p>They are but I don&#39;t know how a song can be powerful but lethargic since don&#39;t those counter act each other. Also I&#39;d want different mood then that. Like I will never think to look up lethargic but lazy.&nbsp;</p>";"<p>They are too complicated. We need normal moods like lazy, party, working out, depressed, etc.&nbsp;</p>";5;4;4;"<p>I use them a lot, like create a station in Apple music, cause I get into a mood and I want that vibe to continue, I don&#39;t want to waste time clicking back and forth since I am normally doing something at the same time that doesn&#39;t allow me to be hands on with phone and I can skip a song by asking siri&nbsp;</p>";"<p>Can it speak it outloud to me, or can there be a written explaintion why I might like it&nbsp;&nbsp;</p>";"";0;0;0;1;0
690,49;2;4;7;"";4;"";4;4;3;3;4;1;2;"";1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;"";3;3;4;3;;;;;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;4;4;4;4;4;4;4;3;4;3;3;4;4;3;3;4;3;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;4;3;4;3;3;4;2;3;2;"<p>the sound recommendation is only base on the actual&nbsp;&nbsp;mood of the listeners</p>";1;"<p>it gives a normal direct usage</p>";"<p>the playlist have many features</p>";"<p>no</p>";"<p>yes</p>";"<p>it will be of great help</p>";4;3;4;"<p>no</p>";"<p>no</p>";"<p>none</p>";0;0;0;1;0
1044,93;2;3;4;"";10;"Mining";2;4;4;4;4;1;6;"";0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;"";3;4;3;2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;2;2;1;1;4;3;3;3;3;3;2;2;4;2;4;2;4;2;4;2;2;4;3;3;4;2;5;1;4;1;4;3;4;2;5;1;4;2;4;3;"<p>3 looks more pleasing than 2 and is easier to <u><em>quickly </em></u>compare the similarities because of the layout of the bar graph as opposed to the percentages. 1 is fine as well, but it offers no explanation.</p>";2;"<p>The design and colors feel out of place in the app. It requires more attention to decipher the information being conveyed.</p>";"<p>I like the color coded bars, it makes them stand out and easy to compare. I dislike the grayed out percentage numbers, requires too much attention.</p>";"<p>no</p>";"<p>somewhat</p>";"<p>I like the idea of it, but I feel like I&#39;m more of the mindset to just play the song for a few seconds and if I don&#39;t like it, I&#39;ll just remove it from the playlist.</p>";4;3;3;"<p>I&#39;m slightly more in favor, but as I previously stated, I feel I&#39;m just as apt to listen to the song recommended and delete if I don&#39;t like it.</p>";"<p>no</p>";"<p>I feel this HIT is quite a bit underpaid for the amount of required writing and time it takes to complete. <span class=""text-uppercase""><span data-react-class=""require('reactComponents/common/CopyText')['default']"" data-react-props=""{&quot;textToCopy&quot;:&quot;A3LPHYONE222OY&quot;}""><span class=""copy-begin copy-container"" data-reactid="".0""><span class=""copyable-content"" data-reactid="".0.1"" tabindex=""0""><span data-reactid="".0.1.0"">A3LPHYONE222OY is my ID in case of a problem. </span></span></span></span></span></p>";0;0;0;1;0
311,213;1;1;6;"";8;"";5;4;3;4;4;2;3;"";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;"";;;;;3;4;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;4;2;4;4;2;2;4;2;5;4;5;5;5;4;2;4;5;4;4;2;4;2;5;4;3;4;2;1;2;4;3;3;4;4;5;3;4;4;2;4;1;"<p>good for useful and interesting</p>";2;"<p>all of</p>";"<p>no idea</p>";"<p>nothing</p>";"<p>nothing</p>";"<p>nothing</p>";4;5;5;"<p>country music</p>";"<p>hip hop music</p>";"<p>nothing</p>";0;0;0;1;0
719,36;2;2;4;"";1;"";3;3;3;3;3;2;1;"";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;"";;;;;3;3;3;3;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;1;"<p>easy to work and looks classy</p>";2;"<p>its so confusing</p>";"<p>i like the interfaces</p>";"<p>yes, i wish to change the 3rd interface</p>";"<p>nope</p>";"<p>it help to reduce the stresslevel and feel pleasant</p>";4;4;3;"<p>slightly&nbsp;</p>";"<p>nope</p>";"<p>i understood how to answer a survey. I enjoyed taking this survey</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
269,826;2;2;8;"";4;"";5;5;4;4;5;1;2;"";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"";5;4;5;4;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;4;4;4;4;4;4;5;4;5;5;4;5;4;5;4;4;4;5;5;5;4;4;5;4;4;5;5;5;5;4;4;5;4;5;4;2;"<p><span style=""font-size:8px"">no</span></p>";1;"<p>no</p>";"<p>no</p>";"<p>no</p>";"<p>yes</p>";"<p>no</p>";5;4;5;"<p>body p</p>";"<p>no</p>";"<p>no</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
897,277;2;5;6;"";13;"";4;5;4;5;5;1;1;"";0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;"";4;5;5;4;;;;;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;5;4;4;5;5;5;4;4;5;5;4;4;5;5;5;5;3;4;4;5;5;4;4;4;4;3;4;5;5;4;4;5;5;5;4;4;5;4;4;2;5;2;"<p>ITALY</p>";1;"<p>ITALY</p>";"<p>ITALY</p>";"<p>14PX</p>";"<p>ITALY</p>";"<p>BOLD</p>";5;5;5;"<p>BOLD</p>";"<p>ITALY</p>";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
350,3;2;2;6;"";11;"";2;4;4;4;4;1;3;"";0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;"";4;5;4;4;;;;;1;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;0;4;3;2;4;1;3;2;3;2;4;2;3;4;4;4;2;4;2;4;2;3;3;4;2;4;3;4;3;2;4;2;5;2;4;2;4;3;4;1;2;2;2;"<p>It is the most clear to me why certain songs get recommended by this and what stats they show</p>";3;"<p>It is overly complex with the bars and hard to understand at first</p>";"<p>I like the WHY? and percentages shown in details and dislike the bars, seems like an overload of information</p>";"";"<p>Yes, they helped me groove into that mood</p>";"<p>I think it helps when the users want to be in certain moods</p>";5;4;4;"<p>No</p>";"";"";0;0;0;1;0
